year,jurisdiction,code,occupation,group,experience,deployment,displacement,reinstatement,netChange,employmentIndex,yoyChange,hiringChange
2026,Australia,AU,Administrative & clerical,Business services,Entry,0.18674,0.12636,0.00184,-0.12453,87.54708,-0.06419,-0.17158
2027,Australia,AU,Administrative & clerical,Business services,Entry,0.32645,0.2209,0.00367,-0.21723,78.27734,-0.10588,-0.26485
2028,Australia,AU,Administrative & clerical,Business services,Entry,0.49683,0.3362,0.00679,-0.3294,67.05958,-0.14331,-0.32051
2029,Australia,AU,Administrative & clerical,Business services,Entry,0.65308,0.44193,0.01112,-0.43082,56.91849,-0.15123,-0.28975
2030,Australia,AU,Administrative & clerical,Business services,Entry,0.7631,0.51638,0.0157,-0.50068,49.93199,-0.12275,-0.19961
2026,Germany,DE,Administrative & clerical,Business services,Entry,0.18062,0.09784,0.00172,-0.09612,90.38799,-0.04625,-0.12523
2027,Germany,DE,Administrative & clerical,Business services,Entry,0.30566,0.16557,0.00325,-0.16232,83.76848,-0.07323,-0.18913
2028,Germany,DE,Administrative & clerical,Business services,Entry,0.46101,0.24972,0.00577,-0.24395,75.60487,-0.09745,-0.23325
2029,Germany,DE,Administrative & clerical,Business services,Entry,0.61255,0.3318,0.00924,-0.32256,67.74396,-0.10397,-0.2246
2030,Germany,DE,Administrative & clerical,Business services,Entry,0.72923,0.395,0.01308,-0.38192,61.80758,-0.08763,-0.16961
2026,Japan,JP,Administrative & clerical,Business services,Entry,0.16856,0.08471,0.0014,-0.08331,91.66936,-0.04009,-0.1094
2027,Japan,JP,Administrative & clerical,Business services,Entry,0.28811,0.14478,0.00267,-0.14211,85.78853,-0.06415,-0.16802
2028,Japan,JP,Administrative & clerical,Business services,Entry,0.44,0.22112,0.00477,-0.21635,78.36539,-0.08653,-0.21209
2029,Japan,JP,Administrative & clerical,Business services,Entry,0.59189,0.29745,0.00773,-0.28972,71.02845,-0.09362,-0.20963
2030,Japan,JP,Administrative & clerical,Business services,Entry,0.71144,0.35753,0.01109,-0.34644,65.35594,-0.07986,-0.16207
2026,India,IN,Administrative & clerical,Business services,Entry,0.12095,0.09794,0.00124,-0.0967,90.33003,-0.05124,-0.13938
2027,India,IN,Administrative & clerical,Business services,Entry,0.22322,0.18075,0.00257,-0.17818,82.18208,-0.0902,-0.2328
2028,India,IN,Administrative & clerical,Business services,Entry,0.36,0.29151,0.00499,-0.28652,71.34835,-0.13183,-0.30954
2029,India,IN,Administrative & clerical,Business services,Entry,0.49678,0.40226,0.00865,-0.39361,60.63871,-0.1501,-0.30599
2030,India,IN,Administrative & clerical,Business services,Entry,0.59905,0.48508,0.01291,-0.47217,52.78285,-0.12955,-0.22445
2026,France,FR,Administrative & clerical,Business services,Entry,0.16451,0.09194,0.00149,-0.09044,90.95558,-0.04295,-0.11662
2027,France,FR,Administrative & clerical,Business services,Entry,0.2785,0.15565,0.0028,-0.15285,84.71533,-0.06861,-0.17829
2028,France,FR,Administrative & clerical,Business services,Entry,0.42461,0.2373,0.00494,-0.23236,76.76395,-0.09386,-0.22718
2029,France,FR,Administrative & clerical,Business services,Entry,0.57419,0.3209,0.00796,-0.31294,68.70628,-0.10497,-0.23022
2030,France,FR,Administrative & clerical,Business services,Entry,0.69594,0.38894,0.01143,-0.37751,62.24946,-0.09398,-0.18448
2026,Brazil,BR,Administrative & clerical,Business services,Entry,0.09137,0.06559,0.00084,-0.06475,93.52545,-0.03153,-0.08699
2027,Brazil,BR,Administrative & clerical,Business services,Entry,0.16352,0.11739,0.00162,-0.11577,88.4234,-0.05455,-0.14577
2028,Brazil,BR,Administrative & clerical,Business services,Entry,0.26903,0.19312,0.00299,-0.19014,80.98646,-0.08411,-0.21248
2029,Brazil,BR,Administrative & clerical,Business services,Entry,0.39586,0.28417,0.00515,-0.27902,72.09757,-0.10976,-0.25397
2030,Brazil,BR,Administrative & clerical,Business services,Entry,0.51686,0.37104,0.00803,-0.36301,63.69917,-0.11649,-0.23995
2026,Nigeria,NG,Administrative & clerical,Business services,Entry,0.0536,0.04748,0.00049,-0.04699,95.301,-0.02194,-0.06108
2027,Nigeria,NG,Administrative & clerical,Business services,Entry,0.09502,0.08417,0.00091,-0.08327,91.6731,-0.03807,-0.10365
2028,Nigeria,NG,Administrative & clerical,Business services,Entry,0.1593,0.14111,0.00164,-0.13948,86.05228,-0.06131,-0.16059
2029,Nigeria,NG,Administrative & clerical,Business services,Entry,0.24627,0.21815,0.00283,-0.21532,78.46794,-0.08814,-0.2167
2030,Nigeria,NG,Administrative & clerical,Business services,Entry,0.34443,0.3051,0.00457,-0.30053,69.94661,-0.1086,-0.24347
2026,United States,US,Administrative & clerical,Business services,Junior,0.31272,0.12546,0.00569,-0.11978,88.02227,-0.0598,-0.23326
2027,United States,US,Administrative & clerical,Business services,Junior,0.50443,0.20238,0.01141,-0.19097,80.90332,-0.08088,-0.29662
2028,United States,US,Administrative & clerical,Business services,Junior,0.68352,0.27423,0.02002,-0.25421,74.5793,-0.07817,-0.2635
2029,United States,US,Administrative & clerical,Business services,Junior,0.80581,0.32329,0.02956,-0.29373,70.62693,-0.053,-0.16468
2030,United States,US,Administrative & clerical,Business services,Junior,0.87252,0.35006,0.03711,-0.31294,68.70569,-0.0272,-0.08005
2026,Singapore,SG,Administrative & clerical,Business services,Junior,0.2925,0.1215,0.00463,-0.11686,88.31381,-0.06206,-0.24346
2027,Singapore,SG,Administrative & clerical,Business services,Junior,0.49636,0.20618,0.0099,-0.19627,80.37266,-0.08992,-0.33088
2028,Singapore,SG,Administrative & clerical,Business services,Junior,0.69263,0.2877,0.01842,-0.26929,73.07135,-0.09084,-0.30422
2029,Singapore,SG,Administrative & clerical,Business services,Junior,0.82532,0.34282,0.02831,-0.3145,68.54968,-0.06188,-0.1884
2030,Singapore,SG,Administrative & clerical,Business services,Junior,0.89503,0.37177,0.03623,-0.33554,66.44574,-0.03069,-0.08766
2026,United Kingdom,UK,Administrative & clerical,Business services,Junior,0.22387,0.08175,0.00349,-0.07826,92.17423,-0.03901,-0.15592
2027,United Kingdom,UK,Administrative & clerical,Business services,Junior,0.38281,0.13979,0.007,-0.13279,86.72127,-0.05916,-0.22721
2028,United Kingdom,UK,Administrative & clerical,Business services,Junior,0.56215,0.20528,0.01278,-0.1925,80.74984,-0.06886,-0.24881
2029,United Kingdom,UK,Administrative & clerical,Business services,Junior,0.71203,0.26001,0.02029,-0.23972,76.02837,-0.05847,-0.19673
2030,United Kingdom,UK,Administrative & clerical,Business services,Junior,0.80894,0.2954,0.02758,-0.26781,73.21865,-0.03696,-0.11707
2026,Canada,CA,Administrative & clerical,Business services,Junior,0.20074,0.07837,0.00309,-0.07527,92.47267,-0.03737,-0.14957
2027,Canada,CA,Administrative & clerical,Business services,Junior,0.34658,0.1353,0.00616,-0.12915,87.08535,-0.05826,-0.22447
2028,Canada,CA,Administrative & clerical,Business services,Junior,0.51964,0.20286,0.01126,-0.1916,80.84013,-0.07171,-0.26022
2029,Canada,CA,Administrative & clerical,Business services,Junior,0.67388,0.26308,0.01817,-0.2449,75.50972,-0.06594,-0.2221
2030,Canada,CA,Administrative & clerical,Business services,Junior,0.78002,0.30451,0.02529,-0.27922,72.07772,-0.04545,-0.143
2026,United Arab Emirates,AE,Administrative & clerical,Business services,Junior,0.17156,0.06388,0.00253,-0.06135,93.86462,-0.03253,-0.13149
2027,United Arab Emirates,AE,Administrative & clerical,Business services,Junior,0.31516,0.11736,0.00543,-0.11192,88.80769,-0.05387,-0.21071
2028,United Arab Emirates,AE,Administrative & clerical,Business services,Junior,0.49072,0.18273,0.01066,-0.17207,82.79322,-0.06772,-0.2506
2029,United Arab Emirates,AE,Administrative & clerical,Business services,Junior,0.64406,0.23983,0.01811,-0.22172,77.82772,-0.05997,-0.2069
2030,United Arab Emirates,AE,Administrative & clerical,Business services,Junior,0.74334,0.2768,0.02581,-0.25099,74.90112,-0.0376,-0.12194
2026,Australia,AU,Administrative & clerical,Business services,Junior,0.18674,0.06683,0.00276,-0.06407,93.59331,-0.03189,-0.12844
2027,Australia,AU,Administrative & clerical,Business services,Junior,0.32645,0.11682,0.00553,-0.1113,88.87028,-0.05046,-0.19679
2028,Australia,AU,Administrative & clerical,Business services,Junior,0.49683,0.1778,0.01021,-0.16758,83.24182,-0.06333,-0.23452
2029,Australia,AU,Administrative & clerical,Business services,Junior,0.65308,0.23371,0.01672,-0.217,78.30039,-0.05936,-0.20589
2030,Australia,AU,Administrative & clerical,Business services,Junior,0.7631,0.27308,0.02361,-0.24948,75.05237,-0.04148,-0.13533
2026,Germany,DE,Administrative & clerical,Business services,Junior,0.18062,0.05174,0.00258,-0.04916,95.08412,-0.02297,-0.09315
2027,Germany,DE,Administrative & clerical,Business services,Junior,0.30566,0.08756,0.00489,-0.08267,91.73329,-0.03524,-0.13962
2028,Germany,DE,Administrative & clerical,Business services,Junior,0.46101,0.13206,0.00867,-0.12339,87.6611,-0.04439,-0.16967
2029,Germany,DE,Administrative & clerical,Business services,Junior,0.61255,0.17547,0.0139,-0.16157,83.84277,-0.04356,-0.1591
2030,Germany,DE,Administrative & clerical,Business services,Junior,0.72923,0.2089,0.01967,-0.18923,81.07743,-0.03298,-0.11522
2026,Japan,JP,Administrative & clerical,Business services,Junior,0.16856,0.0448,0.00211,-0.04269,95.73102,-0.02004,-0.08156
2027,Japan,JP,Administrative & clerical,Business services,Junior,0.28811,0.07657,0.00401,-0.07255,92.74462,-0.0312,-0.12443
2028,Japan,JP,Administrative & clerical,Business services,Junior,0.44,0.11694,0.00717,-0.10976,89.02381,-0.04012,-0.15503
2029,Japan,JP,Administrative & clerical,Business services,Junior,0.59189,0.15731,0.01163,-0.14567,85.43262,-0.04034,-0.14963
2030,Japan,JP,Administrative & clerical,Business services,Junior,0.71144,0.18908,0.01667,-0.1724,82.75952,-0.03129,-0.11138
2026,India,IN,Administrative & clerical,Business services,Junior,0.12095,0.05179,0.00186,-0.04993,95.00657,-0.02579,-0.1048
2027,India,IN,Administrative & clerical,Business services,Junior,0.22322,0.09559,0.00386,-0.09172,90.82762,-0.04399,-0.17412
2028,India,IN,Administrative & clerical,Business services,Junior,0.36,0.15416,0.0075,-0.14666,85.33423,-0.06048,-0.22889
2029,India,IN,Administrative & clerical,Business services,Junior,0.49678,0.21274,0.01301,-0.19973,80.02746,-0.06219,-0.22112
2030,India,IN,Administrative & clerical,Business services,Junior,0.59905,0.25653,0.01941,-0.23712,76.28779,-0.04673,-0.15582
2026,France,FR,Administrative & clerical,Business services,Junior,0.16451,0.04862,0.00225,-0.04637,95.36265,-0.02143,-0.087
2027,France,FR,Administrative & clerical,Business services,Junior,0.2785,0.08231,0.00421,-0.0781,92.18968,-0.03327,-0.13221
2028,France,FR,Administrative & clerical,Business services,Junior,0.42461,0.12549,0.00743,-0.11807,88.19323,-0.04335,-0.16652
2029,France,FR,Administrative & clerical,Business services,Junior,0.57419,0.16971,0.01197,-0.15773,84.22656,-0.04498,-0.16528
2030,France,FR,Administrative & clerical,Business services,Junior,0.69594,0.20569,0.01719,-0.18849,81.15057,-0.03652,-0.12817
2026,Brazil,BR,Administrative & clerical,Business services,Junior,0.09137,0.03469,0.00127,-0.03342,96.65811,-0.01598,-0.06541
2027,Brazil,BR,Administrative & clerical,Business services,Junior,0.16352,0.06208,0.00244,-0.05964,94.03568,-0.02713,-0.10927
2028,Brazil,BR,Administrative & clerical,Business services,Junior,0.26903,0.10213,0.00449,-0.09764,90.23609,-0.04041,-0.15832
2029,Brazil,BR,Administrative & clerical,Business services,Junior,0.39586,0.15028,0.00774,-0.14254,85.74582,-0.04976,-0.18709
2030,Brazil,BR,Administrative & clerical,Business services,Junior,0.51686,0.19622,0.01208,-0.18415,81.58538,-0.04852,-0.17335
2026,Nigeria,NG,Administrative & clerical,Business services,Junior,0.0536,0.02511,0.00073,-0.02437,97.56252,-0.01123,-0.04617
2027,Nigeria,NG,Administrative & clerical,Business services,Junior,0.09502,0.04452,0.00136,-0.04315,95.68464,-0.01925,-0.07825
2028,Nigeria,NG,Administrative & clerical,Business services,Junior,0.1593,0.07463,0.00246,-0.07217,92.78341,-0.03032,-0.12088
2029,Nigeria,NG,Administrative & clerical,Business services,Junior,0.24627,0.11537,0.00426,-0.11111,88.88887,-0.04197,-0.16227
2030,Nigeria,NG,Administrative & clerical,Business services,Junior,0.34443,0.16135,0.00687,-0.15448,84.55208,-0.04879,-0.1807
2026,United States,US,Administrative & clerical,Business services,Mid,0.31272,0.0479,0.0065,-0.0414,95.85952,-0.01947,-0.11899
2027,United States,US,Administrative & clerical,Business services,Mid,0.50443,0.07727,0.01304,-0.06423,93.57696,-0.02381,-0.14266
2028,United States,US,Administrative & clerical,Business services,Mid,0.68352,0.10471,0.02288,-0.08182,91.81778,-0.0188,-0.10995
2029,United States,US,Administrative & clerical,Business services,Mid,0.80581,0.12344,0.03378,-0.08966,91.03441,-0.00853,-0.04896
2030,United States,US,Administrative & clerical,Business services,Mid,0.87252,0.13366,0.04242,-0.09124,90.87577,-0.00174,-0.00992
2026,Singapore,SG,Administrative & clerical,Business services,Mid,0.2925,0.04639,0.0053,-0.04109,95.89064,-0.02074,-0.12694
2027,Singapore,SG,Administrative & clerical,Business services,Mid,0.49636,0.07872,0.01132,-0.0674,93.25954,-0.02744,-0.16444
2028,Singapore,SG,Administrative & clerical,Business services,Mid,0.69263,0.10985,0.02105,-0.0888,91.11969,-0.02295,-0.13374
2029,Singapore,SG,Administrative & clerical,Business services,Mid,0.82532,0.13089,0.03236,-0.09854,90.14644,-0.01068,-0.06083
2030,Singapore,SG,Administrative & clerical,Business services,Mid,0.89503,0.14195,0.0414,-0.10054,89.94554,-0.00223,-0.01256
2026,United Kingdom,UK,Administrative & clerical,Business services,Mid,0.22387,0.03121,0.00399,-0.02722,97.27772,-0.01307,-0.08054
2027,United Kingdom,UK,Administrative & clerical,Business services,Mid,0.38281,0.05337,0.008,-0.04537,95.46291,-0.01866,-0.11343
2028,United Kingdom,UK,Administrative & clerical,Business services,Mid,0.56215,0.07838,0.0146,-0.06378,93.62224,-0.01928,-0.11504
2029,United Kingdom,UK,Administrative & clerical,Business services,Mid,0.71203,0.09928,0.02319,-0.07609,92.39148,-0.01315,-0.07692
2030,United Kingdom,UK,Administrative & clerical,Business services,Mid,0.80894,0.11279,0.03152,-0.08126,91.87354,-0.00561,-0.03237
2026,Canada,CA,Administrative & clerical,Business services,Mid,0.20074,0.02992,0.00354,-0.02639,97.36141,-0.01266,-0.07801
2027,Canada,CA,Administrative & clerical,Business services,Mid,0.34658,0.05166,0.00703,-0.04463,95.53738,-0.01873,-0.114
2028,Canada,CA,Administrative & clerical,Business services,Mid,0.51964,0.07746,0.01287,-0.06459,93.54149,-0.02089,-0.12474
2029,Canada,CA,Administrative & clerical,Business services,Mid,0.67388,0.10045,0.02077,-0.07968,92.03229,-0.01613,-0.09433
2030,Canada,CA,Administrative & clerical,Business services,Mid,0.78002,0.11627,0.0289,-0.08737,91.26339,-0.00835,-0.04806
2026,United Arab Emirates,AE,Administrative & clerical,Business services,Mid,0.17156,0.02439,0.00289,-0.0215,97.85003,-0.0111,-0.06862
2027,United Arab Emirates,AE,Administrative & clerical,Business services,Mid,0.31516,0.04481,0.00621,-0.0386,96.14017,-0.01747,-0.10687
2028,United Arab Emirates,AE,Administrative & clerical,Business services,Mid,0.49072,0.06977,0.01219,-0.05758,94.24161,-0.01975,-0.11866
2029,United Arab Emirates,AE,Administrative & clerical,Business services,Mid,0.64406,0.09157,0.02069,-0.07088,92.91232,-0.01411,-0.08308
2030,United Arab Emirates,AE,Administrative & clerical,Business services,Mid,0.74334,0.10569,0.0295,-0.07619,92.38116,-0.00572,-0.0332
2026,Australia,AU,Administrative & clerical,Business services,Mid,0.18674,0.02552,0.00315,-0.02236,97.7639,-0.0108,-0.06671
2027,Australia,AU,Administrative & clerical,Business services,Mid,0.32645,0.0446,0.00631,-0.03829,96.17096,-0.01629,-0.09956
2028,Australia,AU,Administrative & clerical,Business services,Mid,0.49683,0.06789,0.01167,-0.05621,94.37875,-0.01864,-0.11201
2029,Australia,AU,Administrative & clerical,Business services,Mid,0.65308,0.08924,0.01911,-0.07013,92.98697,-0.01475,-0.08699
2030,Australia,AU,Administrative & clerical,Business services,Mid,0.7631,0.10427,0.02698,-0.07729,92.27122,-0.0077,-0.04473
2026,Germany,DE,Administrative & clerical,Business services,Mid,0.18062,0.01976,0.00295,-0.0168,98.31951,-0.00764,-0.0473
2027,Germany,DE,Administrative & clerical,Business services,Mid,0.30566,0.03343,0.00559,-0.02784,97.21603,-0.01122,-0.06897
2028,Germany,DE,Administrative & clerical,Business services,Mid,0.46101,0.05042,0.00991,-0.04051,95.94889,-0.01303,-0.0792
2029,Germany,DE,Administrative & clerical,Business services,Mid,0.61255,0.067,0.01589,-0.05111,94.88878,-0.01105,-0.06626
2030,Germany,DE,Administrative & clerical,Business services,Mid,0.72923,0.07976,0.02248,-0.05728,94.27202,-0.0065,-0.03855
2026,Japan,JP,Administrative & clerical,Business services,Mid,0.16856,0.0171,0.00241,-0.0147,98.53043,-0.00674,-0.04176
2027,Japan,JP,Administrative & clerical,Business services,Mid,0.28811,0.02924,0.00459,-0.02465,97.5353,-0.0101,-0.0622
2028,Japan,JP,Administrative & clerical,Business services,Mid,0.44,0.04465,0.0082,-0.03645,96.35513,-0.0121,-0.07376
2029,Japan,JP,Administrative & clerical,Business services,Mid,0.59189,0.06006,0.01329,-0.04677,95.32309,-0.01071,-0.0645
2030,Japan,JP,Administrative & clerical,Business services,Mid,0.71144,0.07219,0.01905,-0.05314,94.68603,-0.00668,-0.03982
2026,India,IN,Administrative & clerical,Business services,Mid,0.12095,0.01978,0.00212,-0.01765,98.23485,-0.00892,-0.05528
2027,India,IN,Administrative & clerical,Business services,Mid,0.22322,0.0365,0.00442,-0.03208,96.79192,-0.01469,-0.09018
2028,India,IN,Administrative & clerical,Business services,Mid,0.36,0.05886,0.00858,-0.05029,94.97145,-0.01881,-0.11378
2029,India,IN,Administrative & clerical,Business services,Mid,0.49678,0.08123,0.01487,-0.06636,93.36426,-0.01692,-0.10045
2030,India,IN,Administrative & clerical,Business services,Mid,0.59905,0.09795,0.02218,-0.07577,92.42335,-0.01008,-0.05881
2026,France,FR,Administrative & clerical,Business services,Mid,0.16451,0.01856,0.00257,-0.016,98.40047,-0.00721,-0.04465
2027,France,FR,Administrative & clerical,Business services,Mid,0.2785,0.03143,0.00481,-0.02662,97.33823,-0.0108,-0.06639
2028,France,FR,Administrative & clerical,Business services,Mid,0.42461,0.04792,0.00849,-0.03943,96.05718,-0.01316,-0.08007
2029,France,FR,Administrative & clerical,Business services,Mid,0.57419,0.0648,0.01368,-0.05112,94.88843,-0.01217,-0.07305
2030,France,FR,Administrative & clerical,Business services,Mid,0.69594,0.07854,0.01965,-0.05889,94.1115,-0.00819,-0.04856
2026,Brazil,BR,Administrative & clerical,Business services,Mid,0.09137,0.01324,0.00145,-0.0118,98.82044,-0.00555,-0.0345
2027,Brazil,BR,Administrative & clerical,Business services,Mid,0.16352,0.0237,0.00278,-0.02092,97.90807,-0.00923,-0.05702
2028,Brazil,BR,Administrative & clerical,Business services,Mid,0.26903,0.039,0.00514,-0.03386,96.61393,-0.01322,-0.08088
2029,Brazil,BR,Administrative & clerical,Business services,Mid,0.39586,0.05738,0.00885,-0.04853,95.14664,-0.01519,-0.09171
2030,Brazil,BR,Administrative & clerical,Business services,Mid,0.51686,0.07492,0.0138,-0.06112,93.88797,-0.01323,-0.07867
2026,Nigeria,NG,Administrative & clerical,Business services,Mid,0.0536,0.00959,0.00084,-0.00875,99.12516,-0.00399,-0.02481
2027,Nigeria,NG,Administrative & clerical,Business services,Mid,0.09502,0.017,0.00156,-0.01544,98.45595,-0.00675,-0.04183
2028,Nigeria,NG,Administrative & clerical,Business services,Mid,0.1593,0.02849,0.00281,-0.02568,97.43193,-0.0104,-0.064
2029,Nigeria,NG,Administrative & clerical,Business services,Mid,0.24627,0.04405,0.00487,-0.03918,96.08155,-0.01386,-0.0844
2030,Nigeria,NG,Administrative & clerical,Business services,Mid,0.34443,0.06161,0.00786,-0.05375,94.62487,-0.01516,-0.09104
2026,United States,US,Administrative & clerical,Business services,Senior,0.31272,0.02196,0.00548,-0.01647,98.3528,-0.00744,-0.06703
2027,United States,US,Administrative & clerical,Business services,Senior,0.50443,0.03542,0.011,-0.02441,97.55873,-0.00807,-0.07219
2028,United States,US,Administrative & clerical,Business services,Senior,0.68352,0.04799,0.01931,-0.02868,97.13181,-0.00438,-0.03881
2029,United States,US,Administrative & clerical,Business services,Senior,0.80581,0.05658,0.0285,-0.02807,97.19279,0.00063,0.00554
2030,United States,US,Administrative & clerical,Business services,Senior,0.87252,0.06126,0.03579,-0.02547,97.45283,0.00268,0.02364
2026,Singapore,SG,Administrative & clerical,Business services,Senior,0.2925,0.02126,0.00447,-0.01679,98.32064,-0.00822,-0.07411
2027,Singapore,SG,Administrative & clerical,Business services,Senior,0.49636,0.03608,0.00955,-0.02653,97.3468,-0.0099,-0.08853
2028,Singapore,SG,Administrative & clerical,Business services,Senior,0.69263,0.05035,0.01776,-0.03259,96.74105,-0.00622,-0.05507
2029,Singapore,SG,Administrative & clerical,Business services,Senior,0.82532,0.05999,0.0273,-0.03269,96.73091,-0.0001,-0.00092
2030,Singapore,SG,Administrative & clerical,Business services,Senior,0.89503,0.06506,0.03494,-0.03012,96.9875,0.00265,0.02333
2026,United Kingdom,UK,Administrative & clerical,Business services,Senior,0.22387,0.01431,0.00337,-0.01094,98.90609,-0.00512,-0.04632
2027,United Kingdom,UK,Administrative & clerical,Business services,Senior,0.38281,0.02446,0.00675,-0.01771,98.22897,-0.00685,-0.06156
2028,United Kingdom,UK,Administrative & clerical,Business services,Senior,0.56215,0.03592,0.01232,-0.0236,97.63961,-0.006,-0.05358
2029,United Kingdom,UK,Administrative & clerical,Business services,Senior,0.71203,0.0455,0.01957,-0.02593,97.40656,-0.00239,-0.02119
2030,United Kingdom,UK,Administrative & clerical,Business services,Senior,0.80894,0.05169,0.0266,-0.0251,97.49032,0.00086,0.00761
2026,Canada,CA,Administrative & clerical,Business services,Senior,0.20074,0.01371,0.00298,-0.01073,98.92694,-0.00504,-0.04556
2027,Canada,CA,Administrative & clerical,Business services,Senior,0.34658,0.02368,0.00594,-0.01774,98.22575,-0.00709,-0.06374
2028,Canada,CA,Administrative & clerical,Business services,Senior,0.51964,0.0355,0.01086,-0.02464,97.53591,-0.00702,-0.06271
2029,Canada,CA,Administrative & clerical,Business services,Senior,0.67388,0.04604,0.01753,-0.02851,97.14866,-0.00397,-0.0352
2030,Canada,CA,Administrative & clerical,Business services,Senior,0.78002,0.05329,0.02439,-0.0289,97.10966,-0.0004,-0.00355
2026,United Arab Emirates,AE,Administrative & clerical,Business services,Senior,0.17156,0.01118,0.00244,-0.00874,99.12608,-0.00443,-0.04012
2027,United Arab Emirates,AE,Administrative & clerical,Business services,Senior,0.31516,0.02054,0.00524,-0.0153,98.47029,-0.00662,-0.05962
2028,United Arab Emirates,AE,Administrative & clerical,Business services,Senior,0.49072,0.03198,0.01028,-0.0217,97.8304,-0.0065,-0.05817
2029,United Arab Emirates,AE,Administrative & clerical,Business services,Senior,0.64406,0.04197,0.01746,-0.02451,97.5491,-0.00288,-0.02557
2030,United Arab Emirates,AE,Administrative & clerical,Business services,Senior,0.74334,0.04844,0.02489,-0.02355,97.64497,0.00098,0.00872
2026,Australia,AU,Administrative & clerical,Business services,Senior,0.18674,0.01169,0.00266,-0.00903,99.09672,-0.00428,-0.0387
2027,Australia,AU,Administrative & clerical,Business services,Senior,0.32645,0.02044,0.00533,-0.01512,98.48839,-0.00614,-0.0553
2028,Australia,AU,Administrative & clerical,Business services,Senior,0.49683,0.03111,0.00985,-0.02127,97.8735,-0.00624,-0.0559
2029,Australia,AU,Administrative & clerical,Business services,Senior,0.65308,0.0409,0.01612,-0.02478,97.52206,-0.00359,-0.03195
2030,Australia,AU,Administrative & clerical,Business services,Senior,0.7631,0.04779,0.02277,-0.02502,97.49753,-0.00025,-0.00223
2026,Germany,DE,Administrative & clerical,Business services,Senior,0.18062,0.00905,0.00249,-0.00657,99.3435,-0.00292,-0.02644
2027,Germany,DE,Administrative & clerical,Business services,Senior,0.30566,0.01532,0.00472,-0.0106,98.93956,-0.00407,-0.03672
